datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEICAO DAS ALAGOAS,Cerrado,54,0,1,-19.902,-48.156,90.6
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO SEBASTIAO DO PARAISO,Cerrado,52,0,1,-20.908,-47.125,54.4
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO JOAO BATISTA DO GLORIA,Cerrado,30,0,1,-20.638,-46.545,15.8
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO JOAO BATISTA DO GLORIA,Cerrado,30,0,1,-20.636,-46.532,12.5
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO ROQUE DE MINAS,Cerrado,48,0,1,-20.16,-46.445,14.4
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,MEDEIROS,Cerrado,49,0,1,-20.116,-46.184,14.8
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEICAO DAS ALAGOAS,Cerrado,54,0,1,-19.913,-48.165,15.7
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,AGUA COMPRIDA,Cerrado,54,0,1,-19.911,-48.155,50.1
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,MONTE ALEGRE DE MINAS,Mata Atlantica,48,0,1,-18.565,-49.115,9
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,CENTRALINA,Mata Atlantica,48,0,1,-18.577,-49.133,19.5
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,MONTE ALEGRE DE MINAS,Mata Atlantica,48,0,1,-18.575,-49.123,108.4
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,MONTE ALEGRE DE MINAS,Mata Atlantica,48,0,1,-18.574,-49.113,16.4
2018/07/27 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,MONTE ALEGRE DE MINAS,Mata Atlantica,48,0,1,-18.566,-49.125,49.8
2018/01/01 16:10:00,AQUA_M-T,Brasil,MINAS GERAIS,TAIOBEIRAS,Cerrado,0,5.5,0,-15.698,-42.029,12.5
2018/01/10 16:05:00,AQUA_M-T,Brasil,MINAS GERAIS,JANAUBA,Cerrado,0,1,1,-16.097,-43.383,39.9
2018/01/10 16:05:00,AQUA_M-T,Brasil,MINAS GERAIS,FRANCISCO SA,Cerrado,0,0.9,1,-16.107,-43.389,29.8
2018/01/28 15:55:00,AQUA_M-T,Brasil,MINAS GERAIS,CRISTALIA,Cerrado,0,0.3,0.5,-16.626,-42.809,51
2018/01/28 15:55:00,AQUA_M-T,Brasil,MINAS GERAIS,GRAO MOGOL,Cerrado,0,1.1,0.9,-16.207,-42.76,66.8
2018/01/28 15:55:00,AQUA_M-T,Brasil,MINAS GERAIS,GRAO MOGOL,Cerrado,0,1.2,0.8,-16.205,-42.765,65.1
2018/01/17 16:10:00,AQUA_M-T,Brasil,MINAS GERAIS,DIVISOPOLIS,Mata Atlantica,0,0,0.3,-15.766,-40.936,10.7
2018/01/19 16:00:00,AQUA_M-T,Brasil,MINAS GERAIS,SALINAS,Mata Atlantica,0,0,0.4,-16.187,-42.053,44.5
2018/01/18 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,ITUIUTABA,Cerrado,0,0.1,0.1,-18.948,-49.359,7.5
2018/01/15 16:25:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEICAO DO MATO DENTRO,Mata Atlantica,0,3.1,0.2,-18.668,-43.686,41.1
2018/01/15 16:25:00,AQUA_M-T,Brasil,MINAS GERAIS,MATERLANDIA,Mata Atlantica,0,0.1,0.5,-18.475,-43.031,13.5
2018/01/18 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,VAZANTE,Cerrado,0,0,-999,-17.991,-46.906,10.1
2018/01/20 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,JAIBA,Caatinga,0,0,1,-15.273,-43.653,9.5
2018/01/20 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,JUIZ DE FORA,Mata Atlantica,0,1.7,-999,-21.741,-43.405,8.3
