2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25
0,0,0,7.546096,0,0,6.182049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.412596,4.724485,0,6.362534,5.027918,0,0,0,0,0,0,0,0,5.341492,0,0,0,0,0,0,9.89935,0,0,0,0,0,0,0
0,0,0,0,0,8.348218,0,0,0,5.001929,0,0,0,0,0,0,0,0,0,0,0,5.053617,0,0,0,0,0,0,0,0,0,9.034162,0,0,5.881623,0,8.013918,0,0,0,4.540386,0,0,6.760072,12.672524,6.77221,5.577046,0,0,0,0
0,0,0,0,0,0,0,0,6.569881,0,0,0,0,0,0,0,0,0,0,0,6.16635,0,0,0,0,0,0,0,0,0,0,5.934499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5.556602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.144206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.121047,0,0,0,0,0,0,0,0
0,0,0,0,6.855423,0,0,0,0,6.609199,0,5.986186,0,0,0,0,0,0,0,0,0,0,5.295946,0,0,0,8.348218,0,0,0,0,7.704779,0,7.978369,0,0,0,0,0,0,0,0,0,0,0,0,8.055865,6.924428,6.867068,0,0
0,0,0,0,4.603404,0,3.509929,0,4.603404,4.811287,7.013328,5.863724,7.035026,5.001929,0,8.311319,0,4.305145,6.867068,0,0,0,3.962363,0,6.635042,5.177971,7.614249,6.516391,6.02001,10.60565,5.079031,6.348023,0,5.715285,0,0,0,0,0,0,0,0,0,6.405526,6.405526,0,6.47544,0,0,0,0
0,0,9.047704,0,0,11.385408,0,0,0,9.969748,0,0,0,0,4.508218,0,0,0,0,0,0,0,6.723272,0,0,0,0,9.639688,0,0,0,0,0,0,0,0,0,0,0,6.182049,0,0,0,10.852547,0,9.667358,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.258979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.838036,0,0,0,0,9.684484,6.461626,0,0
0,0,0,0,6.47544,0,7.201615,0,0,0,0,8.426192,0,7.580425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6.946977,4.839509,0,0,6.924428,0,7.38494,0,8.94178,7.466929,8.698403,12.902627,0,0,8.323685,8.248474,0,0,0,0,0,5.577046,0,9.820304,0,7.44896,0,6.134625,0,7.15084,0,6.735604,0,0,9.092279,0,7.261101,0,0,6.796294,6.502821,8.020963,0,7.077818,8.117384,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.660597,0,0,0,0,0,0,0,0,8.390532,0,0,0,0,0,5.556602,7.347541,0,8.157501,0,0,0,0,0,0,0,0,0,5.657054,0,7.752698,12.663197,0,9.052201,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.035026,0,0,0,0,0,0,0,0,5.027918,0,5.341492,8.048927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.492409,8.770606,0,0,0,0,6.150542,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.927658,0,0,0,8.426192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.752698,5.363931,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6.348023,0,0,0,4.894933,0,0,0,0,0,0,0,0,0,0,0,0,6.303932,0,6.102457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.295946,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.753784,4.975643,0,7.752698,5.341492,4.782716,0,11.094055,7.511247,0,0,0,0,0,0,5.249479,5.597311,0,6.52988,0,6.878655,6.502821,8.83074,5.153632,6.069832,0,5.863724,12.328811,7.309524,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.878655,0,0,0,0,0,0,0,6.609199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4.811287,0,0,0,0,5.535974,0,5.934499,5.363931,11.690085,8.490166,5.827503,0,0,0,0,0,0,0,0,0,6.820128,0,0,6.723272,8.988434,0,5.079031,7.67227,0,0,8.518667,0,0,0,0,0,0,0,0,0,0,6.433747,4.922152,7.712835,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74478,0,0,0,8.682631,0,0,7.098919,0,6.348023,7.119828,0,9.087861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67227,0,0,0,0,0,0
0,0,0,0,0,0,0,7.605839,0,8.396514,0,0,0,0,0,0,7.211637,0,5.753303,0,0,0,0,0,0,0,6.243798,0,0,0,4.34026,0,0,0,0,0,0,0,0,6.069832,0,0,8.507309,7.949528,8.585662,6.289045,0,0,7.29992,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.197643,0,0,0,0,0,0,0,0,0,0,0,7.898171,0,0,5.676629,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.382231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.569095,8.580153,7.554726,0,0,7.098919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.362534,0,0,0,0,0,0,0,0,0,0,5.363931,0,0,0,0,0,4.867388,0,0,0,0,5.318831,0,0,0,0,0,0,6.362534,0,0,0,0,0,0,7.439923,0,0,0,0,0,0,12.086242,0,0,0,7.366317,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6.134625,0,0,0,0,10.297875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.405526,0,0,0,0,0,0,0,0,0,0,0,4.34026,0,0,0,6.289045,0,0,0,0,0,0,0,0,0,8.703636,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6.489171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.451241,5.715285,0,8.013918,5.249479,0,0,5.079031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.986186,0,0,5.734373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.660597,4.34026,0,0,0,0,5.249479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.102457,8.117384,0,6.258979,0,0,0,0,0,0,0,9.771539,0,5.934499,6.02001,0,0,0,0,0,0,8.157501,0,5.809176,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.820128,5.515159,0,0,7.475861,0,5.341492,0,0,0,0,8.997653,0,7.181439,0,7.23155,4.922152,0,0,5.177971,5.494154,0,0,0,0,0,0,6.362534,0,0,0,5.177971,5.053617,0,0,0,8.820827,0,0,0
0,0,0,0,0,0,0,0,7.024203,0,0,0,7.347541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.728863,0,0,0,7.898171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.323102,0,8.552408,0,0
0,0,0,0,0,0,0,0,5.556602,0,5.637312,0,0,0,0,0,0,8.190406,9.855419,5.753303,0,0,7.484759,0,0,0,6.660597,5.772078,0,0,0,7.109398,0,0,0,4.305145,0,0,5.657054,0,4.508218,0,7.985523,5.027918,6.878655,0,0,7.201615,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.540386,0,0,0,0,0,6.102457,0,0,0,0,0,0,4.043073,5.753303,7.201615,0,0,0,0,9.704868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.617398,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.883284,0,0,5.951857,0,0,0,0,0,6.647855,0,0,0,0,0,0,0,0,0,0,0,0,7.57189,0,0,8.443816,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.318723,0,0,0,6.723272,0,0,6.867068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6.274062,6.461626,5.129033,8.552408,8.645405,9.047704,8.311319,7.838036,0,6.556625,0,6.41968,4.159064,0,0,0,0,0,0,5.153632,7.109398,8.59664,6.33342,5.809176,7.347541,0,10.466642,6.41968,0,0,0,0,0,0,0,0,5.363931,5.809176,0,8.478666,7.588928,11.736694,0,0
0,10.354668,0,0,0,5.386153,6.303932,0,5.153632,5.429964,0,7.067195,6.362534,0,0,0,0,0,0,0,0,6.16635,6.134625,8.518667,9.350885,5.969086,6.867068,9.764958,0,0,0,0,0,0,0,5.951857,0,8.988434,0,8.034987,6.053344,5.515159,7.44896,11.377249,7.29992,0,5.617398,8.110629,0,0,86
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.494154,0,6.003161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.790702,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.784283,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.53822,0,0,8.714067,0,0,0,0,0,8.311319,0,0,0,0,8.455492,0,0,0,9.987764,0,11.857882,0,0,0,0,0,0,0,0,0,0,0,0,0,6.760072,7.035026,0,5.899384,0,0,0,0,0
0,0,0,0,0,9.855419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.905578,0,6.516391,0,0
0,0,0,0,0,0,0,0,0,5.494154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.986186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.432082,0,0,0,0,0,0,0,0
7.57189,0,8.946488,0,0,0,0,0,0,0,4.867388,0,0,0,0,0,0,7.23155,0,6.52988,5.177971,4.634277,0,0,0,7.171285,5.597311,5.295946,0,0,0,5.881623,0,0,0,5.249479,4.442499,0,0,0,6.958169,0,5.845685,5.734373,7.528737,0,7.280593,5.22589,0,0,0
4.08239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.318831,0,0,0,6.003161,6.635042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6.053344,0,0,6.102457,0,0,0,0,0,0,0,0,0,0,6.784283,9.470043,0,0,0,0,8.770606,0,10.956928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.475861,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.634277,0,0,0,0,0,0,0,0,0,21.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41968,0,6.391284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
